Transaction Date,Post Date,Description,Category,Type,Amount
12/30/2019,12/31/2019,THE LANDING PIZZA AND KIT,Food & Drink,Sale,-44.00
12/29/2019,12/30/2019,TST* SWEET RICE - JP,Food & Drink,Sale,-51.37
